model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
26,5,17,1,16.945454545454545,17,16.0,18.0,14,18,1.0857453546788085,61,55,0.9016393442622951
26,6,18,1,17.807692307692307,18.0,18.0,18.0,15,18,0.5202980484026416,61,52,0.8524590163934426
26,7,18,0,18.0,18.0,18.0,18.0,18,18,0.0,61,48,0.7868852459016393
26,8,18,0,18.0,18,18.0,18.0,18,18,0.0,61,43,0.7049180327868853
26,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,61,36,0.5901639344262295
26,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,61,28,0.45901639344262296
27,1,5,1,5.230769230769231,5.0,5.0,6.0,3,6,0.8152878510556228,78,78,1.0
27,2,10,1,9.623376623376624,10,8.0,11.0,6,12,1.7134984418151316,78,77,0.9871794871794872
27,3,13,1,13.0,13,12.0,14.0,9,17,2.209072203437452,78,75,0.9615384615384616
27,4,15,1,15.36111111111111,16.0,14.0,17.0,12,18,1.8804960601125347,78,72,0.9230769230769231
27,5,17,1,16.782608695652176,17,16.0,18.0,14,18,1.2379221161775433,78,69,0.8846153846153846
27,6,18,1,17.575757575757574,18.0,17.0,18.0,15,18,0.7190188192548286,78,66,0.8461538461538461
27,7,18,0,17.984126984126984,18,18.0,18.0,17,18,0.12498425196844144,78,63,0.8076923076923077
27,8,18,0,18.0,18,18.0,18.0,18,18,0.0,78,59,0.7564102564102564
27,9,18,0,18.0,18,18.0,18.0,18,18,0.0,78,53,0.6794871794871795
27,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,78,50,0.6410256410256411
28,1,5,1,5.4411764705882355,6.0,5.0,6.0,3,6,0.8113596602431601,68,68,1.0
28,2,10,1,10.212121212121213,10.0,9.0,11.0,6,12,1.5026759112990833,68,66,0.9705882352941176
28,3,14,1,13.859375,14.0,12.75,15.0,9,17,1.7398562036487384,68,64,0.9411764705882353
28,4,16,1,16.11111111111111,17,15.0,17.5,12,18,1.7376421820195567,68,63,0.9264705882352942
28,5,17,1,17.295081967213115,18,17.0,18.0,14,18,1.0916112665302617,68,61,0.8970588235294118
28,6,18,1,17.847457627118644,18,18.0,18.0,15,18,0.5146517440911518,68,59,0.8676470588235294
28,7,18,0,18.0,18,18.0,18.0,18,18,0.0,68,55,0.8088235294117647
28,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,68,52,0.7647058823529411
28,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,68,50,0.7352941176470589
28,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,68,46,0.6764705882352942
29,1,5,1,5.015151515151516,5.0,4.0,6.0,3,6,0.9127451807169111,66,66,1.0
29,2,9,1,9.265625,9.0,8.0,11.0,6,12,1.734234228521338,66,64,0.9696969696969697
29,3,13,1,12.629032258064516,12.0,11.0,14.0,9,16,1.9363573297913887,66,62,0.9393939393939394
29,4,15,1,14.847457627118644,15,14.0,16.0,12,18,1.6241144582905072,66,59,0.8939393939393939
29,5,17,1,16.517857142857142,17.0,16.0,18.0,14,18,1.2676056088515215,66,56,0.8484848484848485
29,6,17,0,17.49056603773585,18,17.0,18.0,15,18,0.903298807817798,66,53,0.803030303030303
29,7,18,1,17.82,18.0,18.0,18.0,16,18,0.5173006862551025,66,50,0.7575757575757576
29,8,18,0,17.95744680851064,18,18.0,18.0,17,18,0.20184751022351358,66,47,0.7121212121212122
29,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,66,42,0.6363636363636364
29,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,66,38,0.5757575757575758
30,1,5,1,5.107692307692307,5,5.0,6.0,3,6,0.8061890773276247,65,65,1.0
30,2,9,1,9.28125,9.0,8.0,10.25,6,12,1.5458487757539545,65,64,0.9846153846153847
30,3,13,1,12.709677419354838,13.0,12.0,14.0,9,17,1.8525230987562877,65,62,0.9538461538461539
30,4,15,1,14.983050847457626,15,14.0,16.0,12,18,1.6722209470400795,65,59,0.9076923076923077
30,5,16,1,16.357142857142858,16.0,15.0,18.0,14,18,1.3420210162897097,65,56,0.8615384615384616
30,6,17,1,17.32075471698113,18,17.0,18.0,15,18,0.9270278110594903,65,53,0.8153846153846154
