h,map,raw_atom_count,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,gvars,gstates,extra_gstates,split_gvars,max_gstates_per_gvar,lookup_transitions
0.025,90,727,0.010789229566045474,0.012052277233782193,0.021465087933665705,260,263,3,3,2,649
0.025,91,646,0.010286830976008299,0.011658215721457947,0.02211877030940015,172,176,4,4,2,496
0.025,92,702,0.010733359343814076,0.012029878520083944,0.02211877030940015,232,233,1,1,2,577
0.025,93,713,0.011001985203562395,0.012362220759385692,0.02336557296536935,251,255,4,4,2,568
0.025,94,592,0.010588942587884976,0.012004949711163606,0.022483549541831745,195,196,1,1,2,491
0.025,95,564,0.01143200022178679,0.01277138729086755,0.022483549541831745,223,223,0,0,1,466
0.025,96,432,0.010985779385081015,0.012457583589480303,0.023365572965369338,186,188,2,2,2,367
0.025,97,651,0.010194865820847528,0.011463337672732058,0.021465087933665705,164,166,2,2,2,501
0.025,98,563,0.010876872931811027,0.012349676576546158,0.023255321971540205,223,231,8,8,2,458
0.025,99,719,0.010911410516393282,0.012218368943455024,0.0214580987042189,233,236,3,3,2,628
0.05,10,643,0.021946510744257342,0.024745854704149563,0.044551206493202905,84,114,30,24,4,500
0.05,11,486,0.022140106608206787,0.02508617042320446,0.04455120649320287,98,129,31,23,4,382
0.05,12,734,0.02015601171995982,0.022513077337986444,0.04388633044582335,99,160,61,39,5,619
0.05,13,676,0.021165027851784406,0.023735844426750197,0.04425923632418438,115,161,46,36,4,580
0.05,14,707,0.02286725371045032,0.025522580068484305,0.044551206493202905,128,173,45,34,4,607
0.05,15,548,0.020543069854464607,0.02314475078826938,0.04388633044582335,98,141,43,34,4,477
0.05,16,717,0.022421980415898077,0.025134185214319697,0.044551206493202905,100,135,35,27,4,581
0.05,17,652,0.020308655673564494,0.022959043622265283,0.04425923632418438,89,115,26,19,3,485
0.05,18,698,0.02048129106910912,0.0230336958851984,0.04388633044582335,97,127,30,23,4,553
0.05,19,633,0.022432158927730452,0.025122703930202522,0.04425923632418438,107,132,25,22,3,518
0.05,20,494,0.022289898455838196,0.02529826689107988,0.04388633044582335,106,130,24,22,3,418
0.05,21,652,0.021271327858439142,0.02394271185392845,0.04388633044582335,115,154,39,30,4,553
0.05,22,652,0.02302258558446892,0.025708557394628028,0.044551206493202905,120,140,20,20,2,579
0.05,23,670,0.021492069826997518,0.024230760332037818,0.04393574854261619,106,131,25,20,4,576
0.05,24,743,0.02223138348462566,0.02480665613147615,0.043886330445823345,97,141,44,34,4,595
0.05,25,692,0.02089650803687809,0.023389893944358205,0.044551206493202905,99,135,36,31,4,542
0.05,26,571,0.021607341716525043,0.024472526144677563,0.04388633044582335,91,126,35,26,5,420
0.05,27,741,0.022571253364311598,0.02518672266593002,0.04455120649320287,124,176,52,30,6,601
0.05,28,656,0.019484171278825502,0.021915878181433097,0.04388633044582335,88,122,34,25,6,504
0.05,29,604,0.02277399725902746,0.025555558550884427,0.04425923632418441,104,143,39,29,4,513
0.05,30,620,0.02196222835380877,0.02468123683312696,0.044551206493202905,89,131,42,31,4,516
0.05,31,663,0.02124397321611747,0.023947834206825207,0.04425923632418441,99,144,45,30,4,541
0.05,32,699,0.02266888372496884,0.02535027829121527,0.04388633044582335,134,172,38,31,4,587
0.05,33,790,0.02107386143420553,0.023632406146077586,0.04388633044582333,88,132,44,30,5,580
0.05,34,670,0.020968161742171816,0.023534974926184213,0.043886330445823345,108,152,44,30,5,557
0.05,35,686,0.023408145725585812,0.02615500108263529,0.043886330445823345,130,161,31,28,3,572
0.05,36,673,0.023113812544038298,0.02582147677233642,0.044551206493202905,106,134,28,24,4,523
0.05,37,649,0.019683160711581462,0.022010766730855245,0.04425923632418438,83,116,33,26,4,498
0.05,38,661,0.02099524805037809,0.023626638854058173,0.0439357485426162,98,122,24,19,4,554
0.05,39,480,0.02263314329024245,0.025639079059123805,0.04388633044582335,99,131,32,28,4,400
0.05,40,501,0.02155876102874434,0.024372306852601517,0.04410204076910728,84,108,24,21,3,391
0.05,41,629,0.022168053239551042,0.02496059533654695,0.044551206493202905,114,149,35,29,4,528
0.05,42,540,0.02144249953952746,0.02433067907898268,0.0439357485426162,98,127,29,23,4,432
0.05,43,733,0.022562744442601156,0.02525695263105524,0.04388633044582335,108,136,28,24,3,544
0.05,44,759,0.021094895849993564,0.02368136417571129,0.044551206493202905,106,144,38,31,4,590
0.05,45,734,0.020642314967485472,0.023094605808255158,0.04425923632418438,85,136,51,31,7,566
0.05,46,672,0.023131026202770258,0.02578502356943252,0.04395076791138016,112,151,39,28,4,591
0.05,47,752,0.022523003166284625,0.025258616867592548,0.04425923632418438,107,156,49,26,7,606
0.05,48,734,0.022427603447097134,0.02503266258681419,0.04388633044582333,118,150,32,29,3,619
0.05,49,738,0.02026801041357531,0.02266888977620293,0.04388633044582335,78,119,41,28,6,558
0.05,50,658,0.020390402454913328,0.022849418860208262,0.04388633044582335,87,133,46,33,4,564
0.05,51,714,0.022874838040821462,0.025426283848886497,0.04425923632418438,109,138,29,23,3,622
0.05,52,626,0.022415804034044015,0.025218035789360806,0.04388633044582335,95,125,30,24,4,525
0.05,53,677,0.021466396672398035,0.02409386708925373,0.04388633044582333,114,151,37,32,3,580
0.05,54,739,0.020775624832929076,0.02330424964294795,0.04425923632418438,95,133,38,30,4,575
