model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
30,3,8,2.0,2.0,2.4615384615384617,2.0,0.9538461538461539,0.046153846153846156
30,4,11,3.0,3.0,3.4615384615384617,3.0,0.9076923076923077,0.09230769230769231
30,5,12,3.0,3.0,3.7384615384615385,4.0,0.9076923076923077,0.09230769230769231
30,6,13,3.0,3.0,4.3076923076923075,4.0,0.8615384615384616,0.13846153846153847
30,7,15,4.0,4.0,5.138461538461539,5.0,0.8461538461538461,0.15384615384615385
30,8,17,5.0,6.0,6.369230769230769,7.0,0.8,0.2
30,9,18,5.0,7.0,6.938461538461539,8.0,0.7846153846153846,0.2153846153846154
30,10,19,10.0,10.0,10.0,10.0,0.0,1.0
31,1,3,1.0,1.0,1.0,1.0,1.0,0.0
31,2,5,1.0,1.0,1.3768115942028984,1.0,0.9710144927536232,0.028985507246376812
31,3,6,1.0,1.0,1.6956521739130435,2.0,0.9710144927536232,0.028985507246376812
31,4,10,2.0,2.0,2.753623188405797,3.0,0.9420289855072463,0.057971014492753624
31,5,12,3.0,3.0,3.391304347826087,3.0,0.9420289855072463,0.057971014492753624
31,6,14,3.0,3.0,4.057971014492754,4.0,0.9130434782608695,0.08695652173913043
31,7,15,3.0,4.0,4.434782608695652,5.0,0.9130434782608695,0.08695652173913043
31,8,17,4.0,5.0,5.565217391304348,6.0,0.855072463768116,0.14492753623188406
31,9,18,5.0,6.0,6.27536231884058,7.0,0.8260869565217391,0.17391304347826086
31,10,19,10.0,10.0,10.0,10.0,0.0,1.0
32,1,3,1.0,1.0,1.0,1.0,1.0,0.0
32,2,5,1.0,1.0,1.4473684210526316,1.0,0.9736842105263158,0.02631578947368421
32,3,8,2.0,2.0,2.513157894736842,2.0,0.9473684210526315,0.05263157894736842
32,4,9,2.0,2.0,2.6184210526315788,2.25,0.9473684210526315,0.05263157894736842
32,5,12,3.0,3.0,3.6842105263157894,3.0,0.8947368421052632,0.10526315789473684
32,6,13,3.0,3.0,4.223684210526316,4.0,0.868421052631579,0.13157894736842105
32,7,15,4.0,4.0,4.868421052631579,5.0,0.868421052631579,0.13157894736842105
32,8,16,4.0,5.0,5.552631578947368,6.0,0.8289473684210527,0.17105263157894737
32,9,18,5.0,6.0,6.671052631578948,8.0,0.7763157894736842,0.2236842105263158
32,10,19,10.0,10.0,10.0,10.0,0.0,1.0
33,1,3,1.0,1.0,1.0,1.0,1.0,0.0
33,2,8,2.0,2.0,2.3,2.0,0.975,0.025
33,3,10,2.0,2.0,2.7625,3.0,0.9625,0.0375
33,4,12,3.0,3.0,3.275,3.0,0.9625,0.0375
