model,decision,threshold,first_step_q1,first_step_median,first_step_mean,first_step_q3,reached_fraction,not_reached_fraction
45,3,9,2.0,2.0,2.1805555555555554,2.0,0.96,0.040000000000000036
45,4,12,3.0,3.0,2.9285714285714284,3.0,0.9333333333333333,0.06666666666666665
45,5,13,3.0,3.0,3.2238805970149254,3.0,0.8933333333333333,0.10666666666666669
45,6,14,3.0,3.0,3.5522388059701493,4.0,0.8933333333333333,0.10666666666666669
45,7,16,4.0,4.0,4.246153846153846,5.0,0.8666666666666667,0.1333333333333333
45,8,17,4.0,5.0,4.707692307692308,5.0,0.8666666666666667,0.1333333333333333
45,9,18,5.0,5.0,5.265625,6.0,0.8533333333333334,0.1466666666666666
45,10,19,,,,,0.0,1.0
46,1,3,1.0,1.0,1.0,1.0,1.0,0.0
46,2,5,1.0,1.0,1.2361111111111112,1.0,0.972972972972973,0.027027027027026973
46,3,8,2.0,2.0,2.101449275362319,2.0,0.9324324324324325,0.06756756756756754
46,4,9,2.0,2.0,2.3333333333333335,3.0,0.9324324324324325,0.06756756756756754
46,5,12,3.0,3.0,3.227272727272727,4.0,0.8918918918918919,0.10810810810810811
46,6,14,4.0,4.0,3.9682539682539684,4.0,0.8513513513513513,0.14864864864864868
46,7,15,4.0,5.0,4.516129032258065,5.0,0.8378378378378378,0.16216216216216217
46,8,17,5.0,6.0,5.754385964912281,6.0,0.7702702702702703,0.22972972972972971
46,9,18,6.0,6.0,6.444444444444445,7.0,0.7297297297297297,0.2702702702702703
46,10,19,,,,,0.0,1.0
47,1,3,1.0,1.0,1.0,1.0,1.0,0.0
47,2,5,1.0,1.0,1.2054794520547945,1.0,0.9733333333333334,0.026666666666666616
47,3,6,1.0,2.0,1.5342465753424657,2.0,0.9733333333333334,0.026666666666666616
47,4,9,2.0,2.0,2.211267605633803,2.0,0.9466666666666667,0.053333333333333344
47,5,10,2.0,2.0,2.442857142857143,3.0,0.9333333333333333,0.06666666666666665
47,6,12,3.0,3.0,3.0,3.0,0.9333333333333333,0.06666666666666665
47,7,14,3.0,3.0,3.681159420289855,4.0,0.92,0.07999999999999996
47,8,16,4.0,4.0,4.552238805970149,5.0,0.8933333333333333,0.10666666666666669
47,9,18,5.0,5.0,5.59375,6.0,0.8533333333333334,0.1466666666666666
47,10,19,,,,,0.0,1.0
48,1,3,1.0,1.0,1.0,1.0,1.0,0.0
48,2,8,2.0,2.0,2.1052631578947367,2.0,0.9743589743589743,0.02564102564102566
48,3,9,2.0,2.0,2.3157894736842106,3.0,0.9743589743589743,0.02564102564102566
48,4,12,3.0,3.0,3.22972972972973,4.0,0.9487179487179487,0.05128205128205132
48,5,13,3.0,4.0,3.619718309859155,4.0,0.9102564102564102,0.08974358974358976
48,6,14,4.0,4.0,4.042253521126761,5.0,0.9102564102564102,0.08974358974358976
48,7,16,5.0,5.0,5.121212121212121,5.75,0.8461538461538461,0.15384615384615385
48,8,17,5.0,6.0,5.861538461538461,6.0,0.8333333333333334,0.16666666666666663
48,9,18,6.0,7.0,6.557377049180328,7.0,0.782051282051282,0.21794871794871795
48,10,19,,,,,0.0,1.0
49,1,3,1.0,1.0,1.0,1.0,1.0,0.0
49,2,5,1.0,1.0,1.1333333333333333,1.0,0.974025974025974,0.025974025974025983
49,3,9,2.0,2.0,2.164383561643836,2.0,0.948051948051948,0.051948051948051965
49,4,10,2.0,2.0,2.295774647887324,3.0,0.922077922077922,0.07792207792207795
49,5,13,3.0,3.0,3.246376811594203,3.0,0.8961038961038961,0.10389610389610393
49,6,14,3.0,3.0,3.449275362318841,4.0,0.8961038961038961,0.10389610389610393
49,7,15,3.0,4.0,3.6956521739130435,4.0,0.8961038961038961,0.10389610389610393
49,8,17,4.0,4.0,4.53125,5.0,0.8311688311688312,0.16883116883116878
49,9,18,4.5,5.0,5.015873015873016,5.0,0.8181818181818182,0.18181818181818177
49,10,19,,,,,0.0,1.0
50,1,3,1.0,1.0,1.0,1.0,1.0,0.0
50,2,9,2.0,2.0,2.230769230769231,2.0,0.9701492537313433,0.02985074626865669
50,3,10,2.0,2.0,2.4444444444444446,3.0,0.9402985074626866,0.05970149253731338
50,4,12,3.0,3.0,3.0793650793650795,3.0,0.9402985074626866,0.05970149253731338
50,5,13,3.0,3.0,3.4098360655737703,4.0,0.9104477611940298,0.08955223880597019
50,6,15,4.0,4.0,4.213114754098361,5.0,0.9104477611940298,0.08955223880597019
50,7,16,4.0,5.0,4.706896551724138,5.0,0.8656716417910447,0.13432835820895528
50,8,17,5.0,5.0,5.258620689655173,6.0,0.8656716417910447,0.13432835820895528
50,9,18,5.0,6.0,5.857142857142857,7.0,0.835820895522388,0.16417910447761197
50,10,19,,,,,0.0,1.0
51,1,3,1.0,1.0,1.0,1.0,1.0,0.0
51,2,6,1.0,2.0,1.591549295774648,2.0,0.9726027397260274,0.0273972602739726
51,3,8,2.0,2.0,2.1159420289855073,2.0,0.9452054794520548,0.0547945205479452
51,4,9,2.0,2.0,2.3333333333333335,3.0,0.9452054794520548,0.0547945205479452
51,5,12,3.0,3.0,3.1492537313432836,4.0,0.9178082191780822,0.0821917808219178
51,6,14,3.0,4.0,3.7846153846153845,4.0,0.8904109589041096,0.1095890410958904
51,7,15,3.0,4.0,4.2,5.0,0.8904109589041096,0.1095890410958904
51,8,16,4.0,5.0,4.6875,5.0,0.8767123287671232,0.12328767123287676
51,9,18,5.0,6.0,5.868852459016393,6.0,0.8356164383561644,0.1643835616438356
51,10,19,,,,,0.0,1.0
52,1,3,1.0,1.0,1.0,1.0,1.0,0.0
52,2,5,1.0,1.0,1.2463768115942029,1.0,0.971830985915493,0.028169014084507005
52,3,8,2.0,2.0,2.1194029850746268,2.0,0.9436619718309859,0.05633802816901412
52,4,9,2.0,2.0,2.328358208955224,3.0,0.9436619718309859,0.05633802816901412
52,5,12,3.0,3.0,3.203125,4.0,0.9014084507042254,0.09859154929577463
52,6,14,3.0,4.0,3.9166666666666665,4.0,0.8450704225352113,0.15492957746478875
52,7,15,4.0,5.0,4.440677966101695,5.0,0.8309859154929577,0.16901408450704225
52,8,17,5.0,5.0,5.411764705882353,6.0,0.7183098591549296,0.2816901408450704
52,9,18,5.0,6.0,5.911111111111111,7.0,0.6338028169014085,0.3661971830985915
52,10,19,,,,,0.0,1.0
53,1,3,1.0,1.0,1.0,1.0,1.0,0.0
53,2,5,1.0,1.0,1.2121212121212122,1.0,0.9705882352941176,0.02941176470588236
53,3,9,2.0,2.0,2.246153846153846,2.0,0.9558823529411765,0.044117647058823484
53,4,12,3.0,3.0,3.0,3.0,0.9264705882352942,0.07352941176470584
53,5,13,3.0,3.0,3.4262295081967213,4.0,0.8970588235294118,0.1029411764705882
53,6,14,3.0,4.0,3.8360655737704916,4.0,0.8970588235294118,0.1029411764705882
53,7,16,4.0,5.0,4.745762711864407,5.0,0.8676470588235294,0.13235294117647056
53,8,17,5.0,5.0,5.338983050847458,6.0,0.8676470588235294,0.13235294117647056
53,9,18,5.0,6.0,5.966101694915254,7.0,0.8676470588235294,0.13235294117647056
53,10,19,,,,,0.0,1.0
54,1,3,1.0,1.0,1.0,1.0,1.0,0.0
54,2,5,1.0,1.0,1.155844155844156,1.0,0.9746835443037974,0.025316455696202556
54,3,6,1.0,1.0,1.4415584415584415,2.0,0.9746835443037974,0.025316455696202556
54,4,10,2.0,2.0,2.315068493150685,3.0,0.9240506329113924,0.07594936708860756
54,5,12,3.0,3.0,2.9863013698630136,3.0,0.9240506329113924,0.07594936708860756
54,6,14,3.0,3.0,3.5217391304347827,4.0,0.8734177215189873,0.12658227848101267
54,7,16,4.0,4.0,4.242424242424242,5.0,0.8354430379746836,0.16455696202531644
54,8,17,4.0,5.0,4.7384615384615385,5.0,0.8227848101265823,0.17721518987341767
54,9,18,4.5,5.0,5.317460317460317,6.0,0.7974683544303798,0.20253164556962022
54,10,19,,,,,0.0,1.0
55,1,3,1.0,1.0,1.0,1.0,1.0,0.0
55,2,6,1.0,1.0,1.4848484848484849,2.0,0.9850746268656716,0.014925373134328401
55,3,9,2.0,2.0,2.2153846153846155,2.0,0.9701492537313433,0.02985074626865669
55,4,10,2.0,2.0,2.375,3.0,0.9552238805970149,0.04477611940298509
55,5,12,3.0,3.0,2.921875,3.0,0.9552238805970149,0.04477611940298509
55,6,14,3.0,3.0,3.5396825396825395,4.0,0.9402985074626866,0.05970149253731338
55,7,15,3.0,4.0,3.888888888888889,4.0,0.9402985074626866,0.05970149253731338
55,8,16,4.0,4.0,4.354838709677419,5.0,0.9253731343283582,0.07462686567164178
55,9,18,5.0,5.0,5.466666666666667,6.0,0.8955223880597015,0.10447761194029848
55,10,19,,,,,0.0,1.0
56,1,3,1.0,1.0,1.0,1.0,1.0,0.0
56,2,5,1.0,1.0,1.28,2.0,0.9615384615384616,0.038461538461538436
56,3,6,1.0,2.0,1.58,2.0,0.9615384615384616,0.038461538461538436
56,4,9,2.0,2.0,2.25,2.25,0.9230769230769231,0.07692307692307687
56,5,10,2.0,2.0,2.5106382978723403,3.0,0.9038461538461539,0.09615384615384615
56,6,13,3.0,3.0,3.4444444444444446,4.0,0.8653846153846154,0.13461538461538458
56,7,15,4.0,4.0,4.2272727272727275,5.0,0.8461538461538461,0.15384615384615385
56,8,16,4.0,5.0,4.666666666666667,5.0,0.8076923076923077,0.1923076923076923
56,9,18,5.0,6.0,5.804878048780488,6.0,0.7884615384615384,0.21153846153846156
56,10,19,,,,,0.0,1.0
57,1,3,1.0,1.0,1.0,1.0,1.0,0.0
57,2,5,1.0,1.0,1.125,1.0,0.972972972972973,0.027027027027026973
57,3,9,2.0,2.0,2.157142857142857,2.0,0.9459459459459459,0.05405405405405406
57,4,10,2.0,2.0,2.235294117647059,2.0,0.918918918918919,0.08108108108108103
57,5,13,3.0,3.0,3.212121212121212,3.0,0.8918918918918919,0.10810810810810811
57,6,14,3.0,3.0,3.409090909090909,4.0,0.8918918918918919,0.10810810810810811
57,7,15,3.0,4.0,3.757575757575758,4.0,0.8918918918918919,0.10810810810810811
57,8,17,4.0,5.0,4.777777777777778,5.0,0.8513513513513513,0.14864864864864868
57,9,18,5.0,5.0,5.35,6.0,0.8108108108108109,0.18918918918918914
57,10,19,,,,,0.0,1.0
58,1,3,1.0,1.0,1.0,1.0,1.0,0.0
58,2,5,1.0,1.0,1.25,1.25,0.972972972972973,0.027027027027026973
58,3,6,1.0,2.0,1.6388888888888888,2.0,0.972972972972973,0.027027027027026973
58,4,9,2.0,2.0,2.3,3.0,0.9459459459459459,0.05405405405405406
58,5,11,3.0,3.0,2.925373134328358,3.0,0.9054054054054054,0.09459459459459463
58,6,13,3.0,4.0,3.5396825396825395,4.0,0.8513513513513513,0.14864864864864868
58,7,15,4.0,4.5,4.564516129032258,5.0,0.8378378378378378,0.16216216216216217
58,8,16,5.0,5.0,5.140350877192983,6.0,0.7702702702702703,0.22972972972972971
58,9,18,6.0,6.0,6.5,7.0,0.7027027027027027,0.29729729729729726
58,10,19,,,,,0.0,1.0
59,1,3,1.0,1.0,1.0,1.0,1.0,0.0
59,2,8,2.0,2.0,2.1311475409836067,2.0,0.953125,0.046875
59,3,9,2.0,2.0,2.3278688524590163,3.0,0.953125,0.046875
59,4,10,2.0,2.0,2.5254237288135593,3.0,0.921875,0.078125
59,5,12,3.0,3.0,3.2203389830508473,4.0,0.921875,0.078125
59,6,14,3.0,4.0,3.982456140350877,5.0,0.890625,0.109375
59,7,15,4.0,5.0,4.385964912280702,5.0,0.890625,0.109375
59,8,16,4.0,5.0,4.927272727272728,6.0,0.859375,0.140625
59,9,18,5.0,6.0,6.166666666666667,7.0,0.84375,0.15625
59,10,19,,,,,0.0,1.0
60,1,3,1.0,1.0,1.0,1.0,1.0,0.0
60,2,6,1.0,1.0,1.4366197183098592,2.0,0.9861111111111112,0.01388888888888884
60,3,9,2.0,2.0,2.1714285714285713,2.0,0.9722222222222222,0.02777777777777779
60,4,10,2.0,2.0,2.2794117647058822,3.0,0.9444444444444444,0.05555555555555558
60,5,12,3.0,3.0,2.8676470588235294,3.0,0.9444444444444444,0.05555555555555558
60,6,14,3.0,3.0,3.4545454545454546,4.0,0.9166666666666666,0.08333333333333337
60,7,15,3.0,3.5,3.6818181818181817,4.0,0.9166666666666666,0.08333333333333337
60,8,17,4.0,4.0,4.546875,5.0,0.8888888888888888,0.11111111111111116
60,9,18,4.0,5.0,5.0,6.0,0.8611111111111112,0.13888888888888884
60,10,19,,,,,0.0,1.0
61,1,3,1.0,1.0,1.0,1.0,1.0,0.0
61,2,6,1.0,2.0,1.5714285714285714,2.0,0.9859154929577465,0.014084507042253502
61,3,9,2.0,2.0,2.2205882352941178,2.0,0.9577464788732394,0.04225352112676062
61,4,12,3.0,3.0,3.106060606060606,3.0,0.9295774647887324,0.07042253521126762
61,5,14,4.0,4.0,3.9523809523809526,4.0,0.8873239436619719,0.11267605633802813
61,6,15,4.0,4.0,4.451612903225806,5.0,0.8732394366197183,0.12676056338028174
61,7,16,5.0,5.0,5.051724137931035,5.75,0.8169014084507042,0.18309859154929575
61,8,17,5.0,6.0,5.642857142857143,6.0,0.7887323943661971,0.21126760563380287
61,9,18,6.0,6.0,6.283018867924528,7.0,0.7464788732394366,0.2535211267605634
61,10,19,,,,,0.0,1.0
62,1,3,1.0,1.0,1.0,1.0,1.0,0.0
62,2,5,1.0,1.0,1.2253521126760563,1.0,0.9726027397260274,0.0273972602739726
62,3,8,2.0,2.0,2.088235294117647,2.0,0.9315068493150684,0.06849315068493156
62,4,10,2.0,2.0,2.4477611940298507,3.0,0.9178082191780822,0.0821917808219178
62,5,13,3.0,3.0,3.476923076923077,4.0,0.8904109589041096,0.1095890410958904
62,6,14,3.0,4.0,3.8461538461538463,4.0,0.8904109589041096,0.1095890410958904
62,7,15,4.0,4.0,4.2153846153846155,5.0,0.8904109589041096,0.1095890410958904
62,8,17,5.0,5.0,5.222222222222222,6.0,0.863013698630137,0.136986301369863
62,9,18,5.0,6.0,5.754098360655738,6.0,0.8356164383561644,0.1643835616438356
62,10,19,,,,,0.0,1.0
63,1,3,1.0,1.0,1.0,1.0,1.0,0.0
63,2,5,1.0,1.0,1.3043478260869565,2.0,0.971830985915493,0.028169014084507005
63,3,6,1.0,2.0,1.6521739130434783,2.0,0.971830985915493,0.028169014084507005
63,4,9,2.0,2.0,2.378787878787879,3.0,0.9295774647887324,0.07042253521126762
63,5,11,2.25,3.0,2.935483870967742,3.0,0.8732394366197183,0.12676056338028174
63,6,13,3.0,4.0,3.6440677966101696,4.0,0.8309859154929577,0.16901408450704225
63,7,15,4.0,5.0,4.517241379310345,5.0,0.8169014084507042,0.18309859154929575
63,8,16,4.0,5.0,4.963636363636364,6.0,0.7746478873239436,0.22535211267605637
63,9,18,5.0,6.0,6.142857142857143,7.0,0.6901408450704225,0.3098591549295775
63,10,19,,,,,0.0,1.0
64,1,3,1.0,1.0,1.0,1.0,1.0,0.0
64,2,5,1.0,1.0,1.2622950819672132,2.0,0.9682539682539683,0.031746031746031744
64,3,6,1.0,2.0,1.7049180327868851,2.0,0.9682539682539683,0.031746031746031744
64,4,8,2.0,2.0,2.103448275862069,2.0,0.9206349206349206,0.07936507936507942
64,5,11,3.0,3.0,2.888888888888889,3.0,0.8571428571428571,0.1428571428571429
64,6,14,3.5,4.0,3.9411764705882355,4.0,0.8095238095238095,0.19047619047619047
64,7,15,4.0,4.0,4.36,5.0,0.7936507936507936,0.2063492063492064
64,8,16,4.0,5.0,4.895833333333333,5.0,0.7619047619047619,0.23809523809523814
64,9,18,6.0,6.0,6.0638297872340425,7.0,0.746031746031746,0.25396825396825395
64,10,19,,,,,0.0,1.0
65,1,3,1.0,1.0,1.0,1.0,1.0,0.0
65,2,5,1.0,1.0,1.1891891891891893,1.0,0.9736842105263158,0.02631578947368418
65,3,6,1.0,1.5,1.5,2.0,0.9736842105263158,0.02631578947368418
65,4,10,2.0,2.0,2.3676470588235294,3.0,0.8947368421052632,0.10526315789473684
65,5,12,2.75,3.0,2.8970588235294117,3.0,0.8947368421052632,0.10526315789473684
65,6,14,3.0,3.0,3.5555555555555554,4.0,0.8289473684210527,0.17105263157894735
65,7,16,3.75,4.0,4.2,5.0,0.7894736842105263,0.21052631578947367
65,8,17,4.0,4.0,4.482758620689655,5.0,0.7631578947368421,0.23684210526315785
65,9,18,4.0,5.0,4.964912280701754,5.0,0.75,0.25
65,10,19,,,,,0.0,1.0
66,1,3,1.0,1.0,1.0,1.0,1.0,0.0
66,2,5,1.0,1.0,1.3291139240506329,2.0,0.9753086419753086,0.024691358024691357
66,3,6,1.0,2.0,1.7088607594936709,2.0,0.9753086419753086,0.024691358024691357
66,4,9,2.0,2.0,2.3896103896103895,3.0,0.9506172839506173,0.04938271604938271
66,5,11,3.0,3.0,2.972972972972973,3.0,0.9135802469135802,0.0864197530864198
66,6,13,3.0,4.0,3.657142857142857,4.0,0.8641975308641975,0.13580246913580252
66,7,15,4.0,5.0,4.7101449275362315,5.0,0.8518518518518519,0.14814814814814814
66,8,16,5.0,5.0,5.348484848484849,6.0,0.8148148148148148,0.18518518518518523
66,9,18,6.0,7.0,6.688524590163935,8.0,0.7530864197530864,0.24691358024691357
66,10,19,,,,,0.0,1.0
67,1,3,1.0,1.0,1.0,1.0,1.0,0.0
67,2,6,1.0,1.0,1.4603174603174602,2.0,0.984375,0.015625
67,3,9,2.0,2.0,2.1129032258064515,2.0,0.96875,0.03125
67,4,10,2.0,2.0,2.278688524590164,3.0,0.953125,0.046875
67,5,12,3.0,3.0,2.8524590163934427,3.0,0.953125,0.046875
67,6,14,3.0,3.0,3.5,4.0,0.9375,0.0625
67,7,15,3.0,4.0,3.76271186440678,4.0,0.921875,0.078125
67,8,17,4.0,4.0,4.589285714285714,5.0,0.875,0.125
67,9,18,4.0,5.0,5.109090909090909,5.0,0.859375,0.140625
67,10,19,,,,,0.0,1.0
68,1,3,1.0,1.0,1.0,1.0,1.0,0.0
68,2,6,1.0,1.0,1.463768115942029,2.0,0.9857142857142858,0.014285714285714235
68,3,9,2.0,2.0,2.1791044776119404,2.0,0.9571428571428572,0.042857142857142816
68,4,10,2.0,2.0,2.3333333333333335,3.0,0.9428571428571428,0.05714285714285716
68,5,12,3.0,3.0,2.9393939393939394,3.0,0.9428571428571428,0.05714285714285716
68,6,15,3.0,4.0,3.7846153846153845,4.0,0.9285714285714286,0.0714285714285714
68,7,16,4.0,4.0,4.174603174603175,5.0,0.9,0.09999999999999998
68,8,17,4.0,5.0,4.650793650793651,5.0,0.9,0.09999999999999998
68,9,18,4.0,5.0,5.065573770491803,6.0,0.8714285714285714,0.12857142857142856
68,10,19,,,,,0.0,1.0
69,1,3,1.0,1.0,1.0,1.0,1.0,0.0
69,2,5,1.0,1.0,1.2,1.0,0.9722222222222222,0.02777777777777779
69,3,9,2.0,2.0,2.176470588235294,2.0,0.9444444444444444,0.05555555555555558
69,4,10,2.0,2.0,2.292307692307692,3.0,0.9027777777777778,0.09722222222222221
69,5,13,3.0,3.0,3.253968253968254,3.5,0.875,0.125
69,6,14,3.0,3.0,3.507936507936508,4.0,0.875,0.125
69,7,15,3.0,4.0,3.7903225806451615,4.0,0.8611111111111112,0.13888888888888884
69,8,17,4.0,4.0,4.586206896551724,5.0,0.8055555555555556,0.19444444444444442
69,9,18,4.0,5.0,5.089285714285714,6.0,0.7777777777777778,0.2222222222222222
69,10,19,,,,,0.0,1.0
70,1,3,1.0,1.0,1.0,1.0,1.0,0.0
70,2,6,1.0,1.0,1.4805194805194806,2.0,0.9871794871794872,0.012820512820512775
70,3,9,2.0,2.0,2.2133333333333334,2.0,0.9615384615384616,0.038461538461538436
70,4,10,2.0,2.0,2.3972602739726026,3.0,0.9358974358974359,0.0641025641025641
70,5,12,3.0,3.0,2.9726027397260273,3.0,0.9358974358974359,0.0641025641025641
70,6,15,3.0,4.0,3.9565217391304346,4.0,0.8846153846153846,0.11538461538461542
70,7,16,4.0,4.0,4.373134328358209,5.0,0.8589743589743589,0.14102564102564108
70,8,17,4.0,5.0,4.895522388059701,5.0,0.8589743589743589,0.14102564102564108
70,9,18,5.0,5.0,5.5,6.0,0.8461538461538461,0.15384615384615385
70,10,19,,,,,0.0,1.0
71,1,3,1.0,1.0,1.0,1.0,1.0,0.0
71,2,5,1.0,1.0,1.2142857142857142,1.0,0.9722222222222222,0.02777777777777779
71,3,9,2.0,2.0,2.2028985507246377,2.0,0.9583333333333334,0.04166666666666663
71,4,12,3.0,3.0,2.9402985074626864,3.0,0.9305555555555556,0.06944444444444442
71,5,13,3.0,3.0,3.375,4.0,0.8888888888888888,0.11111111111111116
71,6,14,3.0,4.0,3.734375,4.0,0.8888888888888888,0.11111111111111116
71,7,16,4.0,4.0,4.466666666666667,5.0,0.8333333333333334,0.16666666666666663
71,8,17,4.0,5.0,5.0,6.0,0.8194444444444444,0.18055555555555558
71,9,18,5.0,5.5,5.586206896551724,6.0,0.8055555555555556,0.19444444444444442
71,10,19,,,,,0.0,1.0
72,1,3,1.0,1.0,1.0,1.0,1.0,0.0
72,2,8,2.0,2.0,2.0606060606060606,2.0,0.9705882352941176,0.02941176470588236
72,3,9,2.0,2.0,2.257575757575758,2.75,0.9705882352941176,0.02941176470588236
72,4,12,3.0,3.0,3.0625,3.0,0.9411764705882353,0.05882352941176472
72,5,13,3.0,3.0,3.3934426229508197,4.0,0.8970588235294118,0.1029411764705882
72,6,14,3.0,4.0,3.7540983606557377,4.0,0.8970588235294118,0.1029411764705882
72,7,16,4.0,5.0,4.661016949152542,5.0,0.8676470588235294,0.13235294117647056
72,8,17,4.0,5.0,5.293103448275862,6.0,0.8529411764705882,0.1470588235294118
72,9,18,5.0,6.0,5.946428571428571,7.0,0.8235294117647058,0.17647058823529416
72,10,19,,,,,0.0,1.0
73,1,3,1.0,1.0,1.0,1.0,1.0,0.0
73,2,5,1.0,1.0,1.1384615384615384,1.0,0.9701492537313433,0.02985074626865669
73,3,9,2.0,2.0,2.21875,2.0,0.9552238805970149,0.04477611940298509
73,4,12,3.0,3.0,3.0,3.0,0.9402985074626866,0.05970149253731338
73,5,13,3.0,3.0,3.4262295081967213,4.0,0.9104477611940298,0.08955223880597019
73,6,14,3.0,4.0,3.7704918032786887,4.0,0.9104477611940298,0.08955223880597019
73,7,16,4.0,5.0,4.6,5.0,0.8955223880597015,0.10447761194029848
73,8,17,4.0,5.0,5.1525423728813555,6.0,0.8805970149253731,0.11940298507462688
73,9,18,5.0,6.0,5.754385964912281,7.0,0.8507462686567164,0.14925373134328357
73,10,19,,,,,0.0,1.0
74,1,3,1.0,1.0,1.0,1.0,1.0,0.0
74,2,6,1.0,2.0,1.5733333333333333,2.0,0.9868421052631579,0.013157894736842146
74,3,9,2.0,2.0,2.3013698630136985,3.0,0.9605263157894737,0.03947368421052633
74,4,10,2.0,2.0,2.492957746478873,3.0,0.9342105263157895,0.06578947368421051
74,5,13,3.0,3.0,3.4411764705882355,4.0,0.8947368421052632,0.10526315789473684
74,6,14,3.0,4.0,3.6911764705882355,4.0,0.8947368421052632,0.10526315789473684
74,7,15,3.0,4.0,4.0588235294117645,5.0,0.8947368421052632,0.10526315789473684
74,8,17,4.0,5.0,5.014925373134329,6.0,0.881578947368421,0.11842105263157898
74,9,18,5.0,6.0,5.606060606060606,6.0,0.868421052631579,0.13157894736842102
74,10,19,,,,,0.0,1.0
75,1,3,1.0,1.0,1.0,1.0,1.0,0.0
75,2,5,1.0,1.0,1.1384615384615384,1.0,0.9701492537313433,0.02985074626865669
75,3,6,1.0,1.0,1.4615384615384615,2.0,0.9701492537313433,0.02985074626865669
75,4,10,2.0,2.0,2.25,2.25,0.8955223880597015,0.10447761194029848
75,5,12,3.0,3.0,2.8833333333333333,3.0,0.8955223880597015,0.10447761194029848
75,6,13,3.0,3.0,3.2241379310344827,3.0,0.8656716417910447,0.13432835820895528
75,7,15,3.0,4.0,3.9655172413793105,4.0,0.8656716417910447,0.13432835820895528
75,8,16,4.0,4.0,4.508771929824562,5.0,0.8507462686567164,0.14925373134328357
75,9,18,5.0,5.0,5.589285714285714,6.0,0.835820895522388,0.16417910447761197
75,10,19,,,,,0.0,1.0
76,1,3,1.0,1.0,1.0,1.0,1.0,0.0
76,2,6,1.0,2.0,1.5849056603773586,2.0,0.9636363636363636,0.036363636363636376
76,3,8,2.0,2.0,2.1372549019607843,2.0,0.9272727272727272,0.07272727272727275
76,4,9,2.0,2.0,2.2941176470588234,3.0,0.9272727272727272,0.07272727272727275
76,5,11,3.0,3.0,2.9183673469387754,3.0,0.8909090909090909,0.10909090909090913
76,6,14,3.0,4.0,3.8958333333333335,4.25,0.8727272727272727,0.12727272727272732
76,7,15,4.0,4.0,4.375,5.0,0.8727272727272727,0.12727272727272732
76,8,16,4.0,5.0,4.869565217391305,5.0,0.8363636363636363,0.1636363636363637
76,9,18,5.0,6.0,6.0227272727272725,7.0,0.8,0.19999999999999996
76,10,19,,,,,0.0,1.0
77,1,3,1.0,1.0,1.0,1.0,1.0,0.0
77,2,6,1.0,2.0,1.5873015873015872,2.0,0.9692307692307692,0.03076923076923077
77,3,8,2.0,2.0,2.098360655737705,2.0,0.9384615384615385,0.06153846153846154
77,4,10,2.0,2.5,2.5,3.0,0.8923076923076924,0.10769230769230764
77,5,11,2.0,3.0,2.8275862068965516,3.0,0.8923076923076924,0.10769230769230764
77,6,13,3.0,3.0,3.4074074074074074,4.0,0.8307692307692308,0.16923076923076918
77,7,15,3.0,4.0,4.09433962264151,5.0,0.8153846153846154,0.18461538461538463
77,8,16,4.0,4.0,4.450980392156863,5.0,0.7846153846153846,0.2153846153846154
77,9,18,5.0,6.0,5.541666666666667,6.0,0.7384615384615385,0.2615384615384615
77,10,19,,,,,0.0,1.0
78,1,3,1.0,1.0,1.0,1.0,1.0,0.0
78,2,6,1.0,1.0,1.4179104477611941,2.0,0.9852941176470589,0.014705882352941124
78,3,9,2.0,2.0,2.242424242424242,2.0,0.9705882352941176,0.02941176470588236
78,4,10,2.0,2.0,2.359375,3.0,0.9411764705882353,0.05882352941176472
78,5,12,3.0,3.0,2.984375,3.0,0.9411764705882353,0.05882352941176472
78,6,15,3.0,4.0,3.8688524590163933,5.0,0.8970588235294118,0.1029411764705882
78,7,16,4.0,4.0,4.310344827586207,5.0,0.8529411764705882,0.1470588235294118
78,8,17,4.0,5.0,4.775862068965517,5.75,0.8529411764705882,0.1470588235294118
78,9,18,4.0,5.0,5.350877192982456,6.0,0.8382352941176471,0.16176470588235292
78,10,19,,,,,0.0,1.0
79,1,3,1.0,1.0,1.0,1.0,1.0,0.0
79,2,6,1.0,2.0,1.507936507936508,2.0,0.984375,0.015625
79,3,9,2.0,2.0,2.2295081967213113,2.0,0.953125,0.046875
79,4,12,2.0,3.0,2.8333333333333335,3.0,0.9375,0.0625
79,5,13,3.0,3.0,3.3448275862068964,4.0,0.90625,0.09375
79,6,14,3.0,4.0,3.689655172413793,4.0,0.90625,0.09375
79,7,16,4.0,4.0,4.527272727272727,5.0,0.859375,0.140625
79,8,17,4.0,5.0,5.037037037037037,6.0,0.84375,0.15625
79,9,18,4.0,5.0,5.615384615384615,7.0,0.8125,0.1875
79,10,19,,,,,0.0,1.0
80,1,3,1.0,1.0,1.0,1.0,1.0,0.0
80,2,6,1.0,2.0,1.6833333333333333,2.0,0.9836065573770492,0.016393442622950838
80,3,8,2.0,2.0,2.1724137931034484,2.0,0.9508196721311475,0.049180327868852514
80,4,9,2.0,2.0,2.3620689655172415,3.0,0.9508196721311475,0.049180327868852514
80,5,12,3.0,3.0,3.3035714285714284,4.0,0.9180327868852459,0.08196721311475408
80,6,14,4.0,4.0,4.2075471698113205,5.0,0.8688524590163934,0.1311475409836066
80,7,15,4.0,5.0,4.788461538461538,5.0,0.8524590163934426,0.14754098360655743
