x,y,xhat,yhat,belief_id,uncertainty
3,3,4,4,21,588
3,5,4,4,21,588
3,5,3,5,0,0
3,6,4,5,50,4116
0,2,4,4,60,2128
1,2,4,4,60,2128
0,1,4,4,60,2128
0,3,4,4,60,2128
2,2,4,4,60,2128
1,1,4,4,60,2128
1,3,4,4,60,2128
0,0,4,4,60,2128
0,4,4,4,60,2128
4,2,4,4,60,2128
3,1,4,4,60,2128
3,3,4,4,60,2128
2,0,4,4,60,2128
2,4,4,4,60,2128
1,0,4,4,60,2128
1,5,4,4,60,2128
6,2,4,4,60,2128
5,1,4,4,60,2128
5,3,4,4,60,2128
4,0,4,4,60,2128
4,4,4,4,60,2128
3,0,4,4,60,2128
3,5,4,4,60,2128
2,1,4,4,60,2128
2,6,4,4,60,2128
0,3,4,4,61,1650
1,3,4,4,61,1650
0,2,4,4,61,1650
0,4,4,4,61,1650
3,3,4,4,61,1650
2,2,4,4,61,1650
2,4,4,4,61,1650
1,1,4,4,61,1650
1,5,4,4,61,1650
5,3,4,4,61,1650
4,2,4,4,61,1650
4,4,4,4,61,1650
3,1,4,4,61,1650
3,5,4,4,61,1650
2,0,4,4,61,1650
2,6,4,4,61,1650
2,6,2,6,0,0
2,7,4,5,50,4116
0,1,3,3,62,3003
1,1,3,3,62,3003
0,0,3,3,62,3003
0,2,3,3,62,3003
2,1,3,3,62,3003
1,0,3,3,62,3003
1,2,3,3,62,3003
0,3,3,3,62,3003
3,1,3,3,62,3003
2,0,3,3,62,3003
2,2,3,3,62,3003
1,3,3,3,62,3003
0,4,3,3,62,3003
4,1,3,3,62,3003
3,0,3,3,62,3003
3,2,3,3,62,3003
2,3,3,3,62,3003
1,4,3,3,62,3003
0,5,3,3,62,3003
5,1,3,3,62,3003
4,0,3,3,62,3003
4,2,3,3,62,3003
3,3,3,3,62,3003
2,4,3,3,62,3003
1,5,3,3,62,3003
0,6,3,3,62,3003
7,1,3,3,62,3003
6,0,3,3,62,3003
6,2,3,3,62,3003
5,0,3,3,62,3003
5,3,3,3,62,3003
4,4,3,3,62,3003
3,5,3,3,62,3003
2,6,3,3,62,3003
1,7,3,3,62,3003
0,3,4,4,63,2127
1,3,4,4,63,2127
0,2,4,4,63,2127
0,4,4,4,63,2127
2,3,4,4,63,2127
1,2,4,4,63,2127
1,4,4,4,63,2127
0,1,4,4,63,2127
0,5,4,4,63,2127
3,3,4,4,63,2127
2,2,4,4,63,2127
2,4,4,4,63,2127
1,1,4,4,63,2127
1,5,4,4,63,2127
0,0,4,4,63,2127
0,6,4,4,63,2127
5,3,4,4,63,2127
4,2,4,4,63,2127
4,4,4,4,63,2127
3,1,4,4,63,2127
3,5,4,4,63,2127
2,0,4,4,63,2127
2,6,4,4,63,2127
1,0,4,4,63,2127
1,7,4,4,63,2127
0,4,3,3,64,1650
1,4,3,3,64,1650
0,3,3,3,64,1650
