map,metric,raw_sigma_candidates,state_count,cluster_frobenius_weighted_mean,cluster_frobenius_weighted_rmse,cluster_frobenius_max,cluster_bures_weighted_mean,cluster_bures_weighted_rmse,cluster_bures_max,transition_frobenius_mean,transition_frobenius_rmse,transition_frobenius_max,transition_bures_mean,transition_bures_rmse,transition_bures_max,unique_gstate_edges,self_loop_fraction,transition_rows
42,frobenius,247,100,0.007441782330469366,0.013631942335993505,0.034878216697532,0.010591882201560017,0.020928312849747194,0.09777618834185971,0.021336900183146674,0.027749708548528505,0.06172973351635338,0.022820433596745605,0.029550468587298897,0.11847880435661907,342,0.0879245283018868,5300
42,bures_wasserstein,247,100,0.008969871305900469,0.01663752674817674,0.06172973351635338,0.009227516806902486,0.016813433657279605,0.05781132155152938,0.022397963482942443,0.028432340939865047,0.06888446849617118,0.02539874052787564,0.03104756102852024,0.08933986710303256,369,0.08283018867924528,5300
43,frobenius,291,100,0.00951310384148408,0.015769381630191964,0.05076386510107362,0.013615085520813966,0.026449209199197198,0.19748417658131498,0.02318908434609479,0.02960236611708075,0.06172973351635338,0.02490334753878394,0.03165779005879881,0.19748417658131498,338,0.09432432432432432,7400
43,bures_wasserstein,291,100,0.01066298575783512,0.018476501797967976,0.054305800795126834,0.010984822584401845,0.018864958780093876,0.054962425073077414,0.02319500733803249,0.02982092064487721,0.06888446849617118,0.026222874560022747,0.03236411072642547,0.07639472238629155,343,0.08648648648648649,7400
44,frobenius,301,100,0.00796265011994432,0.014655574467676185,0.04193268414971786,0.011265769631514561,0.024241489911309193,0.19748417658131498,0.021361471329295265,0.02888843493038743,0.06172973351635338,0.022252479042200398,0.029913455018419195,0.19748417658131498,365,0.09909090909090909,7700
44,bures_wasserstein,301,100,0.009133850064492315,0.01731485535815363,0.06076915335924963,0.009739336522227662,0.018364797359605993,0.06834548403105696,0.02203316844450419,0.029103574823935538,0.06172973351635338,0.025326248566291547,0.032175524680560195,0.08933986710303256,382,0.10428571428571429,7700
45,frobenius,278,100,0.00738715608923626,0.013688158927441208,0.034878216697531994,0.009919018617906292,0.01967917910595968,0.07232099345029265,0.02137361835626892,0.028029519463117717,0.06172973351635338,0.022213663086560458,0.029030062232146714,0.08606024871664086,333,0.08573333333333333,7500
45,bures_wasserstein,278,100,0.009497356105308358,0.016776025777040716,0.05042895993375234,0.009978082493758273,0.01763236461305761,0.050863559813029334,0.021704119702294352,0.028471517065305044,0.06743767493026431,0.024145718443746758,0.03029236978411519,0.07533329782879326,339,0.0964,7500
46,frobenius,335,100,0.010732670891868953,0.016947200920730807,0.04004335150808433,0.015370745014568279,0.027341492444861656,0.19748417658131498,0.02417465343832565,0.030664785464234415,0.06172973351635338,0.024905479323703794,0.031484928289244186,0.19748417658131498,347,0.11162162162162162,7400
46,bures_wasserstein,335,100,0.01076578533154788,0.018180129622619254,0.06172973351635338,0.011934343201176478,0.0198092079831252,0.05568746215099243,0.023583696088350488,0.030149826901030696,0.0735686074355088,0.026223978073393012,0.032140048904305815,0.08492964435635521,359,0.11527027027027027,7400
47,frobenius,319,100,0.008878678041305571,0.01476204926167961,0.04074162490623077,0.012423908840195617,0.0231559568185296,0.09777618834185971,0.022807451315560313,0.029071355202901848,0.06172973351635338,0.02384331001640104,0.030196243058977,0.09777618834185971,336,0.09013333333333333,7500
47,bures_wasserstein,319,100,0.009522476518490213,0.016410463466039374,0.06204659539410686,0.009898054491694971,0.016958701760854452,0.053003061006849705,0.022152357229634705,0.028577210524004828,0.06172973351635338,0.025246656744575602,0.03129717696138924,0.07849162287969456,338,0.08386666666666667,7500
48,frobenius,353,100,0.01137368061029139,0.017859829264648578,0.051217575108550385,0.016880810387904267,0.030169407008112294,0.19748417658131498,0.025469648983490877,0.03157402386984092,0.06172973351635338,0.0256367406809578,0.03142251171909,0.19748417658131498,338,0.13192307692307692,7800
48,bures_wasserstein,353,100,0.011739570154240835,0.019240388449403092,0.060769153359249636,0.013045979428483772,0.02091917685980776,0.0578933270801288,0.02573706147141746,0.03146484269213784,0.07614610955262259,0.028259396948414676,0.03293188158843914,0.08933986710303256,342,0.11833333333333333,7800
49,frobenius,261,100,0.006113822404640004,0.012069672401101818,0.03531019682754539,0.008798337174228803,0.01898957203427767,0.09777618834185971,0.02029132297770098,0.02708122642487388,0.06172973351635338,0.02098363857814435,0.0280938208096494,0.11047695369754787,369,0.06701298701298701,7700
49,bures_wasserstein,261,100,0.006171814579973599,0.012998520866446584,0.054305800795126875,0.006557304651498107,0.013688203494822372,0.054962425073077414,0.019313520096961686,0.026396488033816952,0.06172973351635338,0.022157630026846616,0.028968523031463935,0.08550829036600892,377,0.06558441558441558,7700
