map_id,start_x,start_y,age,xhat,yhat,direction,cnt_e,cnt_w,cnt_n,cnt_s,belief_state,b1,b2,b3,b4,other,gini_uncertainty
84,7,7,1,7,7,south,0,0,0,1,1,97,1,1,1,0,588
84,7,7,2,7,6,east,1,0,0,1,4,94,2,1,1,2,1154
84,7,7,3,8,6,east,2,0,0,1,7,91,3,2,2,2,1698
84,7,7,4,9,6,north,2,0,1,1,15,88,3,3,2,4,2218
84,7,7,5,9,7,north,2,0,2,1,18,86,3,3,2,6,2546
84,7,7,6,9,8,north,2,0,3,1,29,83,4,3,3,7,3028
84,7,9,1,7,9,east,1,0,0,0,1,97,1,1,1,0,588
84,7,9,2,8,9,east,2,0,0,0,2,94,2,2,2,0,1152
84,8,0,1,8,0,west,0,1,0,0,1,97,1,1,1,0,588
84,8,0,2,7,0,north,0,1,1,0,4,94,2,1,1,2,1154
84,8,0,3,7,1,north,0,1,2,0,7,91,3,2,2,2,1698
84,8,0,4,7,2,north,0,1,3,0,12,88,4,3,3,2,2218
84,8,0,5,7,3,north,0,1,4,0,19,86,4,4,4,2,2552
84,8,0,6,7,4,north,0,1,5,0,26,83,5,5,4,3,3036
84,8,0,7,7,5,north,0,1,6,0,38,81,6,5,5,3,3344
84,8,0,8,7,6,east,1,1,6,0,65,78,6,6,5,5,3794
