h,map,raw_sigma_states,quantized_sigma_states,gvar_max,reduction_absolute,reduction_percent,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,weighted_mean_frobenius_error,weighted_rmse_frobenius_error
0.01,89,423,419,418,4,0.9456264775413712,0.004213796835541683,0.004450173317208163,0.007163099887618531,0.003698482849827768,0.004114515879674352
0.01,90,537,537,536,0,0.0,0.004544455524569238,0.0047468797945582255,0.0076210235533030616,0.003956368034424229,0.004365167594580151
0.01,91,419,418,417,1,0.2386634844868735,0.003967825085507621,0.004226326739478455,0.0072436178805898145,0.0035251232211457074,0.003939310591833462
0.01,92,447,437,436,10,2.237136465324385,0.004185552215481409,0.004397245934909775,0.007529940238806715,0.003638005241183148,0.004038946255455757
0.01,93,462,461,460,1,0.21645021645021645,0.00411770907253873,0.00431932634638552,0.007066116330771796,0.0035726687835324613,0.003977306164580801
0.01,94,372,372,371,0,0.0,0.004607753076814212,0.004853698290661897,0.007982480817390069,0.003847341317437265,0.004324136931255799
0.01,95,396,396,395,0,0.0,0.004471137105785671,0.004662492722121763,0.0077801028270839834,0.00371744937018823,0.004133650479969258
0.01,96,370,369,368,1,0.2702702702702703,0.004404048027268244,0.004601486246385585,0.007282170006255015,0.0036952747276728795,0.0041421818585239455
0.01,97,435,415,414,20,4.597701149425287,0.0039046288057838574,0.004167460154330338,0.007022819946431778,0.0035410690876115478,0.003944804830218456
0.01,98,363,363,362,0,0.0,0.00423837221460362,0.004425399392101728,0.007066116330771796,0.0035078211148466564,0.003939375165140955
0.01,99,515,510,509,5,0.970873786407767,0.004362607074311248,0.004552302308797125,0.007022819946431778,0.0038227083521070225,0.0042054704027505935
0.025,10,389,315,314,74,19.02313624678663,0.013135367458318012,0.013851793569425388,0.02345399752707415,0.011045650059614312,0.012300871329479676
0.025,11,399,303,302,96,24.06015037593985,0.013558736064579668,0.014210245518436193,0.022757196663912745,0.011651604162626079,0.012958996633613272
0.025,12,456,337,336,119,26.096491228070175,0.013219378481567347,0.0139230647652067,0.022868974616278712,0.010855078406674847,0.01206573920798014
0.025,13,432,354,353,78,18.055555555555557,0.013263083426367618,0.013925479578150317,0.021917344729688395,0.011180688529907265,0.012395811799909848
0.025,14,539,424,423,115,21.335807050092765,0.013435806909847544,0.014080079745515442,0.022757196663912745,0.011674790403707095,0.012815444188794154
0.025,15,327,264,263,63,19.26605504587156,0.01342316898100018,0.0140123012798028,0.021458098704218883,0.01099218240278336,0.012289234619777427
0.025,16,462,371,370,91,19.696969696969695,0.012952896528967304,0.01359380508895639,0.021458098704218883,0.011091972919474693,0.012211376696703346
0.025,17,438,313,312,125,28.538812785388128,0.013229406184531839,0.013907709500907896,0.022459964381093763,0.010937632733091326,0.012137331571624721
0.025,18,445,344,343,101,22.696629213483146,0.013251783534139052,0.01394278033949849,0.023917357713593726,0.011169052165434873,0.012367244935725014
0.025,19,513,391,390,122,23.78167641325536,0.01336248822456401,0.013951684940198633,0.022282953125651914,0.011554140824057977,0.012667242866947028
