age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
7,7,1,2,2,1,0.521726819331185,0.0030962716121249456,0.51863054771906,0.5248230909433099,0.006192543224249891,0.0
7,7,2,2,2,1,0.5136838770159051,0.003372730543324931,0.5103111464725801,0.51705660755923,0.006745461086649862,0.0
7,7,3,2,2,1,0.5148572920233451,0.0028221614325050215,0.51203513059084,0.5176794534558501,0.005644322865010043,0.0
7,7,5,4,4,3,0.5609647187295875,0.04369119828481182,0.49722549995647997,0.60713914890488,0.1099136489484,0.5
7,8,5,8,8,3,0.5593811072527913,0.045537403446986584,0.4786497076077302,0.60797732221418,0.12932761460644981,0.5
7,9,5,9,9,4,0.5490801747963889,0.06381815115532773,0.41670554495103007,0.62718716456158,0.2104816196105499,0.4444444444444444
7,9,6,6,6,2,0.55126892489738,0.03658326890020912,0.48093735232157997,0.5996691160566201,0.11873176373504013,0.16666666666666663
7,9,7,3,3,1,0.5581897032115267,0.01405358673356769,0.5477713383349,0.57805658687104,0.030285248536140008,0.0
7,9,8,6,6,2,0.536437639596485,0.020025411398879325,0.5032062224344399,0.56087597874644,0.05766975631200011,0.33333333333333337
7,9,9,4,4,2,0.4936277444913225,0.035795884416409414,0.4513774048416401,0.5318568140926601,0.08047940925101998,0.25
8,4,0,3,3,2,0.5421040277368935,0.01234356590957953,0.5279197028515421,0.5580080642541518,0.03008836140260973,0.33333333333333337
8,5,0,2,2,1,0.5518745588644478,0.008750072241834828,0.5431244866226129,0.5606246311062826,0.017500144483669655,0.0
8,5,5,2,2,1,0.6404932335937032,0.0008454912021239047,0.6396477423915793,0.6413387247958271,0.0016909824042478094,0.0
8,7,1,2,2,1,0.5905026518152836,0.012978512372450624,0.577524139442833,0.6034811641877342,0.025957024744901247,0.0
8,7,2,2,2,1,0.5971743956819655,0.004243083365320255,0.5929313123166452,0.6014174790472857,0.00848616673064051,0.0
8,7,3,2,2,1,0.5930291700354775,0.005726588177485503,0.587302581857992,0.598755758212963,0.011453176354971006,0.0
8,7,4,2,2,2,0.599968394641831,0.004003991853154865,0.5959644027886762,0.603972386494986,0.00800798370630973,0.5
8,7,5,3,3,2,0.6623841577378892,0.032083873530922395,0.6172794746888111,0.6892071065265056,0.07192763183769457,0.33333333333333337
8,8,5,4,4,3,0.6396084611215825,0.06811108254077072,0.5330792561627029,0.70632983143203,0.17325057526932708,0.5
