model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
18,4,73,1,1.0,1.0,1.1369863013698631,1.0,10,1.05096261801735,72,1,0.9863013698630136,0.0136986301369863
18,5,73,1,1.0,1.0,1.273972602739726,1.0,10,1.088674875961947,72,1,0.9863013698630136,0.0136986301369863
18,6,73,1,1.0,1.0,1.5753424657534247,2.0,10,1.1093353337549507,72,1,0.9863013698630136,0.0136986301369863
18,7,73,2,2.0,2.0,2.3424657534246576,2.0,10,1.5895133922586617,70,3,0.958904109589041,0.0410958904109589
18,8,73,2,2.0,2.0,2.410958904109589,2.0,10,1.5948170886519661,70,3,0.958904109589041,0.0410958904109589
18,9,73,2,2.0,2.0,2.493150684931507,2.0,10,1.597286120235442,70,3,0.958904109589041,0.0410958904109589
18,10,73,2,2.0,2.0,2.863013698630137,3.0,10,2.00215684038763,68,5,0.9315068493150684,0.0684931506849315
18,11,73,2,2.0,3.0,3.164383561643836,3.0,10,1.9515620623022603,68,5,0.9315068493150684,0.0684931506849315
18,12,73,2,3.0,3.0,3.410958904109589,3.0,10,1.8787610055883497,68,5,0.9315068493150684,0.0684931506849315
18,13,73,3,3.0,3.0,4.0,4.0,10,2.1453996658029473,65,8,0.8904109589041096,0.1095890410958904
18,14,73,3,3.0,3.0,4.260273972602739,4.0,10,2.1198823775865554,65,8,0.8904109589041096,0.1095890410958904
18,15,73,3,3.0,4.0,4.52054794520548,5.0,10,2.074698123220768,65,8,0.8904109589041096,0.1095890410958904
18,16,73,3,4.0,4.0,5.095890410958904,5.0,10,2.2093474122442225,62,11,0.8493150684931506,0.1506849315068493
18,17,73,3,4.0,5.0,5.493150684931507,6.0,10,2.08138051968039,62,11,0.8493150684931506,0.1506849315068493
18,18,73,4,5.0,6.0,6.136986301369863,7.0,10,1.995303173263904,60,13,0.821917808219178,0.1780821917808219
18,19,73,10,10.0,10.0,10.0,10.0,10,0.0,0,73,0.0,1.0
19,1,67,1,1.0,1.0,1.0,1.0,1,0.0,67,0,1.0,0.0
19,2,67,1,1.0,1.0,1.0,1.0,1,0.0,67,0,1.0,0.0
19,3,67,1,1.0,1.0,1.0,1.0,1,0.0,67,0,1.0,0.0
19,4,67,1,1.0,1.0,1.2835820895522387,1.0,10,1.5337591138704632,65,2,0.9701492537313433,0.029850746268656716
19,5,67,1,1.0,1.0,1.462686567164179,1.0,10,1.5485029670857238,65,2,0.9701492537313433,0.029850746268656716
19,6,67,1,1.0,2.0,1.8507462686567164,2.0,10,1.508718259439672,65,2,0.9701492537313433,0.029850746268656716
19,7,67,2,2.0,2.0,2.4925373134328357,2.0,10,1.89558114846048,63,4,0.9402985074626866,0.05970149253731343
19,8,67,2,2.0,2.0,2.582089552238806,2.0,10,1.8938175433506748,63,4,0.9402985074626866,0.05970149253731343
