model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
13,11,6.0,8.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.02,18,18,18
13,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
14,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
14,2,1.0,1.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,"4,5",4,5
14,3,2.0,2.0,0.036036036036036036,0.02702702702702703,0.04054054054054054,0.02,"6,7,8",6,8
14,4,2.0,2.75,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.02,9,9,9
14,5,3.0,3.0,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.02,"10,11,12",10,12
14,6,3.0,4.0,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.02,13,13,13
14,7,4.0,4.0,0.0945945945945946,0.0945945945945946,0.0945945945945946,0.02,14,14,14
14,8,4.0,5.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,15,15,15
14,9,5.0,6.0,0.12162162162162163,0.12162162162162163,0.12162162162162163,0.02,16,16,16
14,10,6.0,7.0,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.02,17,17,17
14,11,7.0,7.0,0.17567567567567569,0.17567567567567569,0.17567567567567569,0.02,18,18,18
14,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
15,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
15,2,1.0,1.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.02,"4,5",4,5
15,3,2.0,2.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.02,6,6,6
15,4,2.0,2.0,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.02,"7,8",7,8
15,5,2.0,3.0,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.02,9,9,9
15,6,2.0,3.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,10,10,10
15,7,3.0,3.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,11,11,11
15,8,3.0,4.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,12,12,12
15,9,4.0,4.0,0.1746031746031746,0.1746031746031746,0.1746031746031746,0.02,13,13,13
15,10,4.0,5.0,0.1746031746031746,0.1746031746031746,0.1746031746031746,0.02,"14,15",14,15
15,11,5.0,7.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.02,16,16,16
15,12,6.0,10.0,0.2698412698412698,0.2698412698412698,0.2698412698412698,0.02,17,17,17
15,13,7.0,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02,18,18,18
15,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
16,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
16,2,1.0,1.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02,"4,5",4,5
16,3,2.0,2.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02,6,6,6
16,4,2.0,2.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,"7,8",7,8
16,5,2.0,3.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,9,9,9
16,6,2.0,3.0,0.08,0.08,0.08,0.02,10,10,10
16,7,3.0,3.0,0.08,0.08,0.08,0.02,"11,12",11,12
16,8,3.0,4.0,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.02,"13,14",13,14
16,9,4.0,5.0,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.02,15,15,15
16,10,5.0,5.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.02,16,16,16
16,11,5.0,6.0,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.02,17,17,17
16,12,6.0,7.0,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.02,18,18,18
16,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
17,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
17,2,1.0,1.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.02,"4,5",4,5
17,3,1.0,2.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.02,6,6,6
17,4,2.0,2.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.02,"7,8",7,8
17,5,2.0,3.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.02,9,9,9
17,6,2.0,3.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.02,10,10,10
17,7,3.0,3.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.02,11,11,11
17,8,3.0,4.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.02,12,12,12
17,9,3.0,4.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.02,13,13,13
17,10,4.0,5.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.02,"14,15",14,15
17,11,4.0,5.0,0.16176470588235295,0.16176470588235295,0.16176470588235295,0.02,16,16,16
17,12,5.0,6.0,0.16176470588235295,0.16176470588235295,0.16176470588235295,0.02,17,17,17
17,13,5.0,7.0,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.02,18,18,18
17,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
18,1,1.0,1.0,0.005479452054794521,0.0,0.0136986301369863,0.02,"1,2,3,4,5",1,5
18,2,1.0,2.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.02,6,6,6
18,3,2.0,2.0,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.02,"7,8,9",7,9
18,4,2.0,3.0,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.02,10,10,10
18,5,3.0,3.0,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.02,"11,12",11,12
18,6,3.0,4.0,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.02,"13,14",13,14
18,7,4.0,5.0,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.02,15,15,15
18,8,4.0,5.0,0.1506849315068493,0.1506849315068493,0.1506849315068493,0.02,16,16,16
